,Unnamed: 0,Unnamed: 0.1,EVENT_ID,osm,forest,forest_year,BEGIN_LAT,BEGIN_LON,BEGIN_DATE,precip2,precip1,LABEL,DAMS
0,0,0,200363,1634,0,8,34,-81.02,12/2009/25,1.1,42.3,1,19.27286219
1,1,1,200364,629,0,8,34.08,-81.18,12/2009/25,1.1,39.3,1,4.803233409
2,2,2,200366,45,0,8,34.095,-80.9706,12/2009/25,1.1,42.3,1,23.42647566
3,3,3,200369,13,0,8,34.72,-80.77,12/2009/25,0.5,23.3,1,17.0603882
4,4,4,200370,13,0,8,34.72,-80.77,12/2009/25,0.5,23.3,1,17.0603882
5,5,5,206405,2,0,7,35.42,-89.5678,12/2009/8,3,53.6,1,89.43649081
6,6,6,203911,3938,0,8,45.5068,-122.519,11/2009/7,21.2,33.8,1,15.92416528
7,7,7,203912,1065,0,8,45.5308,-122.826,11/2009/7,16.1,34.9,1,18.0104407
8,8,8,200498,3,0,7,38.6694,-92.7964,10/2009/30,63.1,0,1,53.56971184
9,9,9,200499,507,0,8,38.78,-90.5,10/2009/29,0,9.6,1,82.84817213
10,10,10,206702,2230,0,8,30.1416,-85.753,12/2009/2,20.4,156.7,1,55.38434774
11,11,11,206703,101,0,8,29.8176,-85.3051,12/2009/2,15.2,71.5,1,36.56703283
12,12,12,206705,15,0,8,30.0421,-84.388,12/2009/2,11.5,63.2,1,46.0757834
13,13,13,199169,246,0,8,33.461,-94.0432,11/2009/29,0,8.9,1,20.40547237
14,14,14,200409,37,0,7,39.22,-92.13,10/2009/22,0,53.4,1,53.59114429
15,15,15,200410,3,0,8,39.9566,-92.2989,10/2009/22,0.6,76.4,1,18.83228493
16,16,16,200411,1,0,8,39.9282,-91.9092,10/2009/22,0.5,73.7,1,33.75777942
17,17,17,200412,4,0,8,39.04,-92.0922,10/2009/22,0,53.4,1,66.18640048
18,18,18,200413,8,0,8,39.5109,-92.0524,10/2009/22,0,24.1,1,34.68924551
19,19,19,200415,79,0,8,38.6818,-90.3042,10/2009/23,47.4,23,1,63.72080312
20,20,20,201416,6,0,8,37.7399,-93.2108,11/2009/15,1,34.6,1,20.01954809
21,21,21,201417,10,0,8,38.44,-92.99,11/2009/15,1.2,34.5,1,40.96184853
22,22,22,198739,3,0,6,41.4888,-92.8635,11/2009/1,0,0,1,16.51866911
23,23,23,199207,4,0,8,32.9442,-93.5184,11/2009/1,0,0,1,12.10557173
24,24,24,200490,24,0,8,38.7139,-91.443,10/2009/29,0.1,51,1,67.31379704
25,25,25,186658,587,0,8,42.52,-71.2,07/2009/7,0,18.9,1,20.2641501
26,26,26,200268,3,0,7,39.1317,-91.5848,10/2009/8,0.1,121.3,1,44.20100655
27,27,27,200269,4,0,7,39.1982,-90.7587,10/2009/8,0,59.2,1,76.66607169
28,28,28,183737,101,0,7,31.8855,-102.3757,06/2009/20,72.7,49.3,1,79.56895652
29,29,29,202215,123,0,8,35.04,-82.2191,11/2009/11,36.1,44.7,1,8.486520428
30,30,30,202216,127,0,8,35.353,-80.679,11/2009/11,57.4,56.7,1,9.839456067
31,31,31,203393,5,0,8,38.5772,-92.0242,11/2009/15,0.8,10.5,1,66.79891443
32,32,32,203396,8,0,8,38.5541,-92.0174,11/2009/15,0.8,10.5,1,65.72920069
33,33,33,200270,5,0,8,38.7337,-92.0874,10/2009/8,0.6,125,1,75.14805212
34,34,34,200271,4,0,8,38.678,-90.7807,10/2009/8,0,71.6,1,86.49138028
35,35,35,200272,11,0,8,39.3196,-91.4648,10/2009/8,0.1,102.7,1,27.86372953
36,36,36,200274,9,0,8,38.76,-91.1852,10/2009/8,0,80.7,1,76.1962259
37,37,37,202269,20,0,8,35.312,-82.654,11/2009/11,55,86.1,1,27.55750963
38,38,38,202271,12,0,8,34.595,-82.2888,11/2009/11,42.2,46.3,1,44.54861702
39,39,39,197318,9,0,8,35.024,-86.6648,09/2009/20,63.1,28.3,1,60.19280787
40,40,40,197319,7,0,8,35.3189,-86.5435,09/2009/20,60.3,19.4,1,31.80965024
41,41,41,202209,163,0,8,35.425,-82.592,11/2009/11,39.5,38.8,1,34.61986556
42,42,42,181974,31,0,7,29.2756,-103.3079,06/2009/16,0.7,0,1,194.2373145
43,43,43,202212,127,0,8,35.353,-80.679,11/2009/11,57.4,56.7,1,9.839456067
44,44,44,202213,123,0,8,35.04,-82.2191,11/2009/11,36.1,44.7,1,8.486520428
45,45,45,202214,163,0,8,35.425,-82.592,11/2009/11,39.5,38.8,1,34.61986556
46,46,46,200408,2,0,8,34.2166,-85.949,10/2009/15,42.3,7.7,1,18.62861734
47,47,47,200267,5,0,8,39.05,-92.18,10/2009/8,0.7,51.3,1,68.69676799
48,48,48,169699,16,0,8,33.7,-80.22,07/2009/6,12.9,30.7,1,28.0218374
49,49,49,202019,5,0,8,36.7777,-83.1747,12/2009/9,10.1,18.9,1,47.17004303
50,50,50,202021,13,0,8,36.7684,-83.701,12/2009/9,17.3,54.8,1,9.358460226
51,51,51,197967,6,0,8,33.4801,-88.8243,10/2009/12,0.1,52.3,1,31.4789683
52,52,52,197975,7,0,8,33.51,-88.4,10/2009/12,0.1,10.4,1,8.24732005
53,53,53,198427,39,0,8,43.41,-95.12,10/2009/1,0,59.1,1,43.27529267
54,54,54,202022,7,0,8,36.7837,-83.5897,12/2009/9,17.3,54.8,1,14.2497245
55,55,55,202856,1,0,8,37.844,-83.4274,12/2009/9,25.6,29.3,1,31.46716026
56,56,56,203909,784,0,8,45.53,-122.94,11/2009/7,14.9,36.5,1,21.1655802
57,57,57,203910,2357,0,5,45.5196,-122.6261,11/2009/7,16.8,33.8,1,12.57371789
58,58,58,200296,14,0,8,33.73,-90.57,10/2009/12,0,68.7,1,74.65610373
59,59,59,200396,5,0,7,32.18,-91.23,10/2009/13,12.1,36,1,59.20394636
60,60,60,200492,179,0,8,38.484,-90.743,10/2009/29,0,17.7,1,66.81421817
61,61,61,200493,6,0,8,38.9352,-90.7258,10/2009/29,0,26.1,1,87.79971021
62,62,62,200494,2,0,6,40.2973,-92.303,10/2009/29,0,15.5,1,27.37035911
63,63,63,200495,8,0,8,39.6304,-92.2801,10/2009/29,0.1,14.2,1,17.79081807
64,64,64,200497,5,0,7,39.6337,-92.1782,10/2009/29,0.2,41.5,1,18.74516299
65,65,65,186491,185,0,8,42.43,-71.75,07/2009/2,21.2,28,1,5.842472862
66,66,66,186494,1345,0,8,41.7,-71.15,07/2009/2,15.5,14.2,1,38.302898
67,67,67,199742,470,0,8,22.2123,-159.4774,11/2009/26,1,8.1,1,3911.660021
68,68,68,198397,7,0,8,29.5299,-97.4247,11/2009/20,4,26.2,1,70.57000202
69,69,69,198398,5,0,8,29.3,-97.89,11/2009/20,6,37.6,1,40.4840742
70,70,70,201356,848,0,8,36.0928,-79.81,11/2009/11,11.6,28,1,9.255216458
71,71,71,201357,152,0,8,36.0916,-79.7944,11/2009/12,66.6,66.3,1,9.878718918
72,72,72,207583,35,0,8,35.4934,-83.3222,12/2009/9,23.3,24.9,1,33.31623424
73,73,73,207584,43,0,8,35.4332,-83.4472,12/2009/9,23.3,24.9,1,32.20966461
74,74,74,201849,13,0,8,38.0071,-78.7203,11/2009/19,6.2,46.1,1,24.16074316
75,75,75,206400,12,0,8,35.43,-88.67,12/2009/8,6.9,35.7,1,34.48858302
76,76,76,206401,24,0,8,34.8636,-90.0477,12/2009/8,7.7,69.4,1,13.775485
77,77,77,206402,4,0,8,35.27,-89,12/2009/8,7.6,48.7,1,68.46693506
78,78,78,207431,41,0,8,35.1716,-80.7861,12/2009/25,0.4,44.9,1,26.00840242
79,79,79,201358,48,0,8,36.4533,-77.6685,11/2009/12,75.7,129.3,1,13.70974492
80,80,80,201359,446,0,8,36.4345,-77.629,11/2009/12,75,97.9,1,17.76831887
81,81,81,198391,17,0,8,29.6364,-99.005,11/2009/20,3.6,19.6,1,12.6172221
82,82,82,198392,37,0,8,29.3647,-98.7947,11/2009/20,3.2,26.5,1,23.81426345
83,83,83,198393,0,0,8,29.2756,-97.6084,11/2009/20,6,37.6,1,67.73375405
84,84,84,196308,281,0,8,30.1148,-94.1628,09/2009/9,8.7,11.4,1,63.28612979
85,85,85,196312,185,0,8,30.1716,-93.2351,09/2009/28,0,2.6,1,64.2182577
86,86,86,199690,5,0,8,37.2582,-86.9808,11/2009/1,40.5,0,1,20.305689
87,87,87,200151,13,0,8,37.2686,-89.5321,11/2009/19,3.2,0.7,1,48.46991677
