,EVENT_ID,osm,forest,forest_year
0,200363,1634,0,8
1,200364,629,0,8
2,200366,45,0,8
3,200369,13,0,8
4,200370,13,0,8
5,206405,2,0,7
6,203911,3938,0,8
7,203912,1065,0,8
8,200498,3,0,7
9,200499,507,0,8
10,206702,2230,0,8
11,206703,101,0,8
12,206705,15,0,8
13,199169,246,0,8
14,200409,37,0,7
15,200410,3,0,8
16,200411,1,0,8
17,200412,4,0,8
18,200413,8,0,8
19,200415,79,0,8
20,201416,6,0,8
21,201417,10,0,8
22,198739,3,0,6
23,199207,4,0,8
24,200490,24,0,8
25,186658,587,0,8
26,200268,3,0,7
27,200269,4,0,7
28,183737,101,0,7
29,202215,123,0,8
30,202216,127,0,8
31,203393,5,0,8
32,203396,8,0,8
33,200270,5,0,8
34,200271,4,0,8
35,200272,11,0,8
36,200274,9,0,8
37,202269,20,0,8
38,202271,12,0,8
39,197318,9,0,8
40,197319,7,0,8
41,202209,163,0,8
42,181974,31,0,7
43,202212,127,0,8
44,202213,123,0,8
45,202214,163,0,8
46,200408,2,0,8
47,200267,5,0,8
48,169699,16,0,8
49,202019,5,0,8
50,202021,13,0,8
51,197967,6,0,8
52,197975,7,0,8
53,198427,39,0,8
54,202022,7,0,8
55,202856,1,0,8
56,203909,784,0,8
57,203910,2357,0,5
58,200296,14,0,8
59,200396,5,0,7
60,200492,179,0,8
61,200493,6,0,8
62,200494,2,0,6
63,200495,8,0,8
64,200497,5,0,7
65,186491,185,0,8
66,186494,1345,0,8
67,199742,470,0,8
68,198397,7,0,8
69,198398,5,0,8
70,201356,848,0,8
71,201357,152,0,8
72,207583,35,0,8
73,207584,43,0,8
74,201849,13,0,8
75,206400,12,0,8
76,206401,24,0,8
77,206402,4,0,8
78,207431,41,0,8
79,201358,48,0,8
80,201359,446,0,8
81,198391,17,0,8
82,198392,37,0,8
83,198393,0,0,8
84,196308,281,0,8
85,196312,185,0,8
86,199690,5,0,8
87,200151,13,0,8
88,199528,1634,0,8
89,198394,243,0,8
90,198395,0,0,8
91,201412,80,0,8
92,201413,18,0,8
93,201414,10,0,8
94,201415,6,0,8
95,208311,7,0,6
96,199214,0,0,8
97,208712,17,0,8
98,203045,2,0,8
99,203046,3,0,8
100,203050,1,0,8
101,146440,65,0,8
102,146445,26,0,8
103,146500,3,0,8
104,146503,103,0,7
105,146504,3808,0,8
106,146505,39,0,8
107,146507,4,0,8
108,203047,16,0,8
109,199906,4,0,8
110,199907,6,0,8
111,199908,1,0,8
112,149147,17,0,8
113,149148,6,0,8
114,149149,14,0,8
115,149150,4,0,8
116,149151,22,0,8
117,149152,3,0,8
118,203041,265,0,8
119,206790,5,0,8
120,201981,9,0,8
121,202262,6,0,8
122,202410,20,0,8
123,149141,12,0,8
124,149142,155,0,8
125,149143,5,0,8
126,199918,0,0,8
127,151426,4,0,8
128,151428,9,0,8
129,151429,3,0,8
130,205602,9,0,8
131,204647,257,0,8
132,204648,282,0,8
133,204649,667,0,8
134,204650,92,0,8
135,172707,183,0,7
136,172708,0,0,7
137,149145,6,0,8
138,149146,131,0,8
139,172701,24,0,4
140,172706,91,0,8
141,199919,2,0,7
142,172709,53,0,8
143,150691,0,0,8
144,201676,4,0,8
145,146509,78,0,8
146,146510,14,0,8
147,146511,4,0,8
148,209012,6,0,8
149,203048,47,0,8
150,141617,9,0,8
151,141618,11,0,8
152,141624,9,0,8
153,200603,3,0,5
154,200604,4,0,8
155,146433,654,0,8
156,208703,2,0,8
157,208705,6,0,8
158,208709,17,0,8
159,199910,6,0,8
160,196171,77,0,8
161,196180,4,0,8
162,196182,9,0,8
163,196184,8,0,8
164,196190,9,0,8
165,196193,348,0,8
166,147907,7,0,8
167,204645,199,0,8
168,204646,260,0,8
169,174729,76,0,8
170,197156,40,0,5
171,152654,3,0,6
172,152652,201,0,8
173,208329,629,0,8
174,196158,8,0,8
175,196160,5,0,8
176,196162,2,0,8
177,208673,64,0,8
178,201980,10,0,8
179,196165,124,0,8
180,196166,1,0,8
181,196172,61,0,8
182,208687,5,0,8
183,172663,8,0,8
184,196802,14,0,8
185,197322,4,0,8
186,197341,28,0,8
187,207429,29,0,8
188,198919,8,0,8
189,199090,98,0,8
190,199092,4,0,8
191,196803,5,0,8
192,196805,238,0,8
193,196854,7,0,8
194,196855,7,0,8
195,196856,2,0,8
196,196925,3,0,8
197,207602,1,0,1
198,202341,8,0,8
199,202355,41,0,8
200,161775,22,0,8
201,157247,7,0,1
202,156281,5,0,2
203,161516,964,0,7
204,145886,2,0,8
205,157252,15,0,1
206,156282,207,0,8
207,156283,10,0,8
208,156284,1,0,8
209,161517,68,0,7
210,156883,2,0,8
211,156903,2,0,8
212,156904,17,0,8
213,207930,4,0,8
214,160969,8,0,8
215,157302,2,0,8
216,155392,3,0,8
217,163358,4,0,8
218,207933,0,0,8
219,157251,15,0,1
220,174915,5,0,8
221,174917,6,0,8
222,159214,14,0,8
223,159215,21,0,8
224,144656,10,0,8
225,157250,6,0,8
226,148698,5,0,8
227,153235,52,0,8
228,202351,5,0,8
229,159216,2,0,8
230,159219,305,0,8
231,156682,18,0,8
232,156697,904,0,7
233,161518,932,0,8
234,161519,52,0,8
235,202356,7,0,8
236,202361,7,0,8
237,204159,26,0,8
238,156699,251,0,7
239,156910,8,0,8
240,157248,7,0,1
241,197709,17,0,8
242,157245,87,0,5
243,156905,17,0,8
244,156906,5,0,7
245,156907,7,0,8
246,153231,15,0,8
247,153233,639,0,8
248,202337,2,0,8
249,156059,3,0,7
250,161515,471,0,7
251,156387,14,0,8
252,159222,1,0,6
253,157045,31,0,8
254,157049,38,0,8
255,156868,133,0,8
256,156869,12,0,8
257,161520,4,0,8
258,156872,61,0,8
259,163351,54,0,8
260,161521,51,0,8
261,156062,26,0,8
262,161499,23,0,8
263,161500,340,0,8
264,161501,37,0,8
265,161506,171,0,8
266,163756,3,0,8
267,149949,0,0,0
268,149952,3,0,0
269,161512,485,0,8
270,172988,62,0,8
271,156275,3,0,7
272,156276,3,0,7
273,171743,0,0,0
274,171408,4,0,8
275,172990,2234,0,8
276,173002,1,0,7
277,156279,6,0,8
278,162996,18,0,8
279,163696,15,0,8
280,162757,8,0,8
281,162759,272,0,8
282,162768,239,0,7
283,171686,50,0,7
284,164101,1,0,8
285,163697,5,0,8
286,162769,15,0,8
287,162771,272,0,6
288,162772,34,0,7
289,162773,22,0,7
290,172972,53,0,8
291,159196,103,0,7
292,172983,820,0,8
293,157367,21,0,8
294,157373,3,0,0
295,164712,6,0,8
296,164715,59,0,8
297,159197,300,0,8
298,159199,75,0,8
299,159201,2984,0,8
300,159202,339,0,8
301,159282,24,0,6
302,159295,2,0,0
303,159300,2,0,0
304,160326,7,0,0
305,162744,113,0,8
306,159138,5,0,8
307,176140,5,0,4
308,176149,14,0,5
309,159139,3,0,8
310,156067,20,0,7
311,156068,42,0,7
312,156069,102,0,7
313,157656,6,0,6
314,157657,6,0,6
315,156223,21,0,8
316,156233,6,0,8
317,160978,4,0,8
318,160980,36,0,8
319,160984,17,0,8
320,160985,11,0,8
321,160994,282,0,8
322,160995,99,0,8
323,156237,1,0,8
324,156063,43,0,8
325,165233,3,0,8
326,161514,142,0,8
327,161058,0,0,8
328,161061,2,0,8
329,161062,13,0,8
330,161495,4,0,8
331,161510,18,0,8
332,159795,43,0,8
333,159796,4,0,8
334,157307,3,0,8
335,156064,139,0,8
336,156065,29,0,6
337,156066,19,0,7
338,150102,9,0,6
339,157493,1,0,6
340,159929,5,0,8
341,159930,12,0,8
342,159937,0,0,8
343,160986,7,0,8
344,160987,158,0,8
345,160988,10,0,8
346,160990,9,0,8
347,156242,21,0,7
348,156249,5,0,6
349,156250,5,0,6
350,160992,12,0,8
351,160581,12,0,8
352,160582,4,0,8
353,207226,3,0,7
354,161029,1,0,7
355,156251,0,0,7
356,156058,4,0,8
357,156060,120,0,8
358,156061,327,0,8
359,166187,39,0,7
360,162949,3,0,8
361,156736,186,0,8
362,156737,326,0,8
363,160114,2,0,8
364,160115,8,0,8
365,160207,46,0,8
366,168244,4,0,8
367,192642,0,0,8
368,152608,1,0,8
369,214138,0,-1,-1
370,168248,4,0,8
371,168253,15,0,8
372,168254,5,0,8
373,168269,7,0,8
374,214140,0,-1,-1
375,161431,8,0,8
376,162968,9,0,8
377,162969,187,0,8
378,168242,21,0,0
379,149839,6,0,5
380,168243,1,0,8
381,154667,7,0,8
382,154670,60,0,8
383,156183,2,0,8
384,193382,4,0,8
385,151403,4,0,8
386,156738,173,0,8
387,154656,17,0,8
388,154659,3,0,7
389,154660,11,0,8
390,154673,62,0,8
391,156740,52,0,8
392,156741,27,0,8
393,192661,2,0,8
394,162763,7,0,8
395,159193,1256,0,6
396,159195,232,0,7
397,155271,5,0,8
398,155272,0,0,2
399,155276,9,0,7
400,193117,10,0,8
401,155062,11,0,8
402,164470,0,0,8
403,228427,4,0,8
404,157559,7,0,0
405,157565,4,0,0
406,157566,9,0,0
407,157567,5,0,0
408,157568,0,0,7
409,172527,10,0,0
410,157569,17,0,8
411,157570,3,0,4
412,157469,7,0,8
413,166278,143,0,8
414,166281,6,0,8
415,160099,39,0,8
416,160111,5,0,8
417,160845,1634,0,8
418,166592,4,0,0
419,166598,12,0,5
420,166600,597,0,7
421,149119,4,0,8
422,168235,2,0,1
423,168238,0,0,0
424,168476,10,0,6
425,168478,0,0,8
426,160848,8,0,8
427,160853,3,0,8
428,160855,6,0,8
429,160858,261,0,8
430,166595,21,0,8
431,162624,14,0,8
