,EVENT_ID,forest,forest_year
0,200363,0,8
1,200364,0,8
2,200366,0,8
3,200369,0,8
4,200370,0,8
5,206405,0,7
6,203911,0,8
7,203912,0,8
8,200498,0,7
9,200499,0,8
10,206702,0,8
11,206703,0,8
12,206705,0,8
13,199169,0,8
14,200409,0,7
15,200410,0,8
16,200411,0,8
17,200412,0,8
18,200413,0,8
19,200415,0,8
20,201416,0,8
21,201417,0,8
22,198739,0,6
23,199207,0,8
24,200490,0,8
25,186658,0,8
26,200268,0,7
27,200269,0,7
28,183737,0,7
29,202215,0,8
30,202216,0,8
31,203393,0,8
32,203396,0,8
33,200270,0,8
34,200271,0,8
35,200272,0,8
36,200274,0,8
37,202269,0,8
38,202271,0,8
39,197318,0,8
40,197319,0,8
41,202209,0,8
42,181974,0,7
43,202212,0,8
44,202213,0,8
45,202214,0,8
46,200408,0,8
47,200267,0,8
48,169699,0,8
49,202019,0,8
50,202021,0,8
51,197967,0,8
52,197975,0,8
53,198427,0,8
54,202022,0,8
55,202856,0,8
56,203909,0,8
57,203910,0,5
58,200296,0,8
59,200396,0,7
60,200492,0,8
61,200493,0,8
62,200494,0,6
63,200495,0,8
64,200497,0,7
65,186491,0,8
66,186494,0,8
67,199742,0,8
68,198397,0,8
69,198398,0,8
70,201356,0,8
71,201357,0,8
72,207583,0,8
73,207584,0,8
74,201849,0,8
75,206400,0,8
76,206401,0,8
77,206402,0,8
78,207431,0,8
79,201358,0,8
80,201359,0,8
81,198391,0,8
82,198392,0,8
83,198393,0,8
84,196308,0,8
85,196312,0,8
86,199690,0,8
87,200151,0,8
88,199528,0,8
89,198394,0,8
90,198395,0,8
91,201412,0,8
92,201413,0,8
93,201414,0,8
94,201415,0,8
95,208311,0,6
96,199214,0,8
97,208712,0,8
98,203045,0,8
99,203046,0,8
100,203050,0,8
101,146440,0,8
102,146445,0,8
103,146500,0,8
104,146503,0,7
105,146504,0,8
106,146505,0,8
107,146507,0,8
108,203047,0,8
109,199906,0,8
110,199907,0,8
111,199908,0,8
112,149147,0,8
113,149148,0,8
114,149149,0,8
115,149150,0,8
116,149151,0,8
117,149152,0,8
118,203041,0,8
119,206790,0,8
120,201981,0,8
121,202262,0,8
122,202410,0,8
123,149141,0,8
124,149142,0,8
125,149143,0,8
126,199918,0,8
127,151426,0,8
128,151428,0,8
129,151429,0,8
130,205602,0,8
131,204647,0,8
132,204648,0,8
133,204649,0,8
134,204650,0,8
135,172707,0,7
136,172708,0,7
137,149145,0,8
138,149146,0,8
139,172701,0,4
140,172706,0,8
141,199919,0,7
142,172709,0,8
143,150691,0,8
144,201676,0,8
145,146509,0,8
146,146510,0,8
147,146511,0,8
148,209012,0,8
149,203048,0,8
150,141617,0,8
151,141618,0,8
152,141624,0,8
153,200603,0,5
154,200604,0,8
155,146433,0,8
156,208703,0,8
157,208705,0,8
158,208709,0,8
159,199910,0,8
160,196171,0,8
161,196180,0,8
162,196182,0,8
163,196184,0,8
164,196190,0,8
165,196193,0,8
166,147907,0,8
167,204645,0,8
168,204646,0,8
169,174729,0,8
170,197156,0,5
171,152654,0,6
172,152652,0,8
173,208329,0,8
174,196158,0,8
175,196160,0,8
176,196162,0,8
177,208673,0,8
178,201980,0,8
179,196165,0,8
180,196166,0,8
181,196172,0,8
182,208687,0,8
183,172663,0,8
184,196802,0,8
185,197322,0,8
186,197341,0,8
187,207429,0,8
188,198919,0,8
189,199090,0,8
190,199092,0,8
191,196803,0,8
192,196805,0,8
193,196854,0,8
194,196855,0,8
195,196856,0,8
196,196925,0,8
197,207602,0,1
198,202341,0,8
199,202355,0,8
200,161775,0,8
201,157247,0,1
202,156281,0,2
203,161516,0,7
204,145886,0,8
205,157252,0,1
206,156282,0,8
207,156283,0,8
208,156284,0,8
209,161517,0,7
210,156883,0,8
211,156903,0,8
212,156904,0,8
213,207930,0,8
214,160969,0,8
215,157302,0,8
216,155392,0,8
217,163358,0,8
218,207933,0,8
219,157251,0,1
220,174915,0,8
221,174917,0,8
222,159214,0,8
223,159215,0,8
224,144656,0,8
225,157250,0,8
226,148698,0,8
227,153235,0,8
228,202351,0,8
229,159216,0,8
230,159219,0,8
231,156682,0,8
232,156697,0,7
233,161518,0,8
234,161519,0,8
235,202356,0,8
236,202361,0,8
237,204159,0,8
238,156699,0,7
239,156910,0,8
240,157248,0,1
241,197709,0,8
242,157245,0,5
243,156905,0,8
244,156906,0,7
245,156907,0,8
246,153231,0,8
247,153233,0,8
248,202337,0,8
249,156059,0,7
250,161515,0,7
251,156387,0,8
252,159222,0,6
253,157045,0,8
254,157049,0,8
255,156868,0,8
256,156869,0,8
257,161520,0,8
258,156872,0,8
259,163351,0,8
260,161521,0,8
261,156062,0,8
262,161499,0,8
263,161500,0,8
264,161501,0,8
265,161506,0,8
266,163756,0,8
267,149949,0,0
268,149952,0,0
269,161512,0,8
270,172988,0,8
271,156275,0,7
272,156276,0,7
273,171743,0,0
274,171408,0,8
275,172990,0,8
276,173002,0,7
277,156279,0,8
278,162996,0,8
279,163696,0,8
280,162757,0,8
281,162759,0,8
282,162768,0,7
283,171686,0,7
284,164101,0,8
285,163697,0,8
286,162769,0,8
287,162771,0,6
288,162772,0,7
289,162773,0,7
290,172972,0,8
291,159196,0,7
292,172983,0,8
293,157367,0,8
294,157373,0,0
295,164712,0,8
296,164715,0,8
297,159197,0,8
298,159199,0,8
299,159201,0,8
300,159202,0,8
301,159282,0,6
302,159295,0,0
303,159300,0,0
304,160326,0,0
305,162744,0,8
306,159138,0,8
307,176140,0,4
308,176149,0,5
309,159139,0,8
310,156067,0,7
311,156068,0,7
312,156069,0,7
313,157656,0,6
314,157657,0,6
315,156223,0,8
316,156233,0,8
317,160978,0,8
318,160980,0,8
319,160984,0,8
320,160985,0,8
321,160994,0,8
322,160995,0,8
323,156237,0,8
324,156063,0,8
325,165233,0,8
326,161514,0,8
327,161058,0,8
328,161061,0,8
329,161062,0,8
330,161495,0,8
331,161510,0,8
332,159795,0,8
333,159796,0,8
334,157307,0,8
335,156064,0,8
336,156065,0,6
337,156066,0,7
338,150102,0,6
339,157493,0,6
340,159929,0,8
341,159930,0,8
342,159937,0,8
343,160986,0,8
344,160987,0,8
345,160988,0,8
346,160990,0,8
347,156242,0,7
348,156249,0,6
349,156250,0,6
350,160992,0,8
351,160581,0,8
352,160582,0,8
353,207226,0,7
354,161029,0,7
355,156251,0,7
356,156058,0,8
357,156060,0,8
358,156061,0,8
359,166187,0,7
360,162949,0,8
361,156736,0,8
362,156737,0,8
363,160114,0,8
364,160115,0,8
365,160207,0,8
366,168244,0,8
367,192642,0,8
368,152608,0,8
369,214138,-1,-1
370,168248,0,8
371,168253,0,8
372,168254,0,8
373,168269,0,8
374,214140,-1,-1
375,161431,0,8
376,162968,0,8
377,162969,0,8
378,168242,0,0
379,149839,0,5
380,168243,0,8
381,154667,0,8
382,154670,0,8
383,156183,0,8
384,193382,0,8
385,151403,0,8
386,156738,0,8
387,154656,0,8
388,154659,0,7
389,154660,0,8
390,154673,0,8
391,156740,0,8
392,156741,0,8
393,192661,0,8
394,162763,0,8
395,159193,0,6
396,159195,0,7
397,155271,0,8
398,155272,0,2
399,155276,0,7
400,193117,0,8
401,155062,0,8
402,164470,0,8
403,228427,0,8
404,157559,0,0
405,157565,0,0
406,157566,0,0
407,157567,0,0
408,157568,0,7
409,172527,0,0
410,157569,0,8
411,157570,0,4
412,157469,0,8
413,166278,0,8
414,166281,0,8
415,160099,0,8
416,160111,0,8
417,160845,0,8
418,166592,0,0
419,166598,0,5
420,166600,0,7
421,149119,0,8
422,168235,0,1
423,168238,0,0
424,168476,0,6
425,168478,0,8
426,160848,0,8
427,160853,0,8
428,160855,0,8
429,160858,0,8
430,166595,0,8
431,162624,0,8
432,152631,0,8
433,147904,0,8
434,203051,0,8
435,208738,0,8
436,172002,0,8
437,203055,0,8
438,208596,0,8
439,196040,0,8
440,196052,0,8
441,196081,0,8
442,196087,0,8
443,203053,0,8
444,203054,0,8
445,171952,0,5
446,171956,0,8
447,171958,0,4
448,203229,0,8
449,163209,0,8
450,166728,0,8
451,167693,0,0
452,167692,0,0
453,166553,0,8
454,169176,0,0
455,177004,0,8
456,166710,0,8
457,174714,0,8
458,174719,0,8
459,169526,0,8
460,169527,0,8
461,170546,0,8
462,166692,0,8
463,170548,0,8
464,170549,0,8
465,170550,0,8
466,170182,0,8
467,170183,0,6
468,170186,0,8
469,170187,0,8
470,166712,0,8
471,175337,0,8
472,161156,0,8
473,167914,0,8
474,167816,0,8
475,171859,0,8
476,173016,0,8
477,173018,0,8
478,168533,0,8
479,168542,0,8
480,168545,0,8
481,176741,0,8
482,176830,0,8
483,166703,0,8
484,175340,0,8
485,173900,0,8
486,173901,0,8
487,173903,0,8
488,172821,0,8
489,175243,0,8
490,172576,0,8
491,166684,0,8
492,167933,0,8
493,167934,0,8
494,168504,0,6
495,169189,0,8
496,169195,0,8
497,169196,0,8
498,169197,0,8
499,167504,0,8
500,164729,0,8
501,164730,0,8
502,175330,0,8
503,172594,0,8
504,172596,0,8
505,172598,0,8
506,170035,0,8
507,169533,0,8
508,169990,0,8
509,168506,0,6
510,166701,0,8
511,172569,0,8
512,172570,0,8
513,172571,0,8
514,172572,0,8
515,179566,0,8
516,172597,0,8
517,176985,0,8
518,161137,0,7
519,170074,0,8
520,170175,0,6
521,166693,0,8
522,171873,0,8
523,172573,0,8
524,172574,0,8
525,168532,0,8
526,168535,0,8
527,168874,0,8
528,179586,0,8
529,179587,0,8
530,179661,0,8
531,173081,0,8
532,173090,0,7
533,173092,0,8
534,172605,0,8
535,172611,0,8
536,182243,0,8
537,182245,0,7
538,167920,0,8
539,170181,0,8
540,166694,0,8
541,172567,0,8
542,168883,0,8
543,168884,0,7
544,171893,0,8
545,172702,0,1
