,Unnamed: 0,EVENT_ID,osm,forest,forest_year,BEGIN_LAT,BEGIN_LON,BEGIN_DATE
0,0,200363,1634,0,8,34.0,-81.02,12/2009/25
1,1,200364,629,0,8,34.08,-81.18,12/2009/25
2,2,200366,45,0,8,34.095,-80.9706,12/2009/25
3,3,200369,13,0,8,34.72,-80.77,12/2009/25
4,4,200370,13,0,8,34.72,-80.77,12/2009/25
5,5,206405,2,0,7,35.42,-89.5678,12/2009/8
6,6,203911,3938,0,8,45.5068,-122.519,11/2009/7
7,7,203912,1065,0,8,45.5308,-122.826,11/2009/7
8,8,200498,3,0,7,38.6694,-92.7964,10/2009/30
9,9,200499,507,0,8,38.78,-90.5,10/2009/29
10,10,206702,2230,0,8,30.1416,-85.75299999999999,12/2009/2
11,11,206703,101,0,8,29.8176,-85.3051,12/2009/2
12,12,206705,15,0,8,30.0421,-84.38799999999998,12/2009/2
13,13,199169,246,0,8,33.461,-94.0432,11/2009/29
14,14,200409,37,0,7,39.22,-92.13,10/2009/22
15,15,200410,3,0,8,39.9566,-92.2989,10/2009/22
16,16,200411,1,0,8,39.9282,-91.9092,10/2009/22
17,17,200412,4,0,8,39.04,-92.0922,10/2009/22
18,18,200413,8,0,8,39.5109,-92.0524,10/2009/22
19,19,200415,79,0,8,38.6818,-90.3042,10/2009/23
20,20,201416,6,0,8,37.7399,-93.2108,11/2009/15
21,21,201417,10,0,8,38.44,-92.99,11/2009/15
22,22,198739,3,0,6,41.4888,-92.8635,11/2009/1
23,23,199207,4,0,8,32.9442,-93.5184,11/2009/1
24,24,200490,24,0,8,38.7139,-91.443,10/2009/29
25,25,186658,587,0,8,42.52,-71.2,07/2009/7
26,26,200268,3,0,7,39.1317,-91.5848,10/2009/8
27,27,200269,4,0,7,39.1982,-90.7587,10/2009/8
28,28,183737,101,0,7,31.8855,-102.3757,06/2009/20
29,29,202215,123,0,8,35.04,-82.2191,11/2009/11
30,30,202216,127,0,8,35.353,-80.679,11/2009/11
31,31,203393,5,0,8,38.5772,-92.0242,11/2009/15
32,32,203396,8,0,8,38.5541,-92.0174,11/2009/15
33,33,200270,5,0,8,38.7337,-92.0874,10/2009/8
34,34,200271,4,0,8,38.678,-90.7807,10/2009/8
35,35,200272,11,0,8,39.3196,-91.4648,10/2009/8
36,36,200274,9,0,8,38.76,-91.1852,10/2009/8
37,37,202269,20,0,8,35.312,-82.654,11/2009/11
38,38,202271,12,0,8,34.595,-82.2888,11/2009/11
39,39,197318,9,0,8,35.024,-86.6648,09/2009/20
40,40,197319,7,0,8,35.3189,-86.5435,09/2009/20
41,41,202209,163,0,8,35.425,-82.59200000000001,11/2009/11
42,42,181974,31,0,7,29.2756,-103.3079,06/2009/16
43,43,202212,127,0,8,35.353,-80.679,11/2009/11
44,44,202213,123,0,8,35.04,-82.2191,11/2009/11
45,45,202214,163,0,8,35.425,-82.59200000000001,11/2009/11
46,46,200408,2,0,8,34.2166,-85.949,10/2009/15
47,47,200267,5,0,8,39.05,-92.18,10/2009/8
48,48,169699,16,0,8,33.7,-80.22,07/2009/6
49,49,202019,5,0,8,36.7777,-83.1747,12/2009/9
50,50,202021,13,0,8,36.7684,-83.70100000000002,12/2009/9
51,51,197967,6,0,8,33.4801,-88.8243,10/2009/12
52,52,197975,7,0,8,33.51,-88.4,10/2009/12
53,53,198427,39,0,8,43.41,-95.12,10/2009/1
54,54,202022,7,0,8,36.7837,-83.5897,12/2009/9
55,55,202856,1,0,8,37.844,-83.4274,12/2009/9
56,56,203909,784,0,8,45.53,-122.94,11/2009/7
57,57,203910,2357,0,5,45.5196,-122.6261,11/2009/7
58,58,200296,14,0,8,33.73,-90.57,10/2009/12
59,59,200396,5,0,7,32.18,-91.23,10/2009/13
60,60,200492,179,0,8,38.484,-90.743,10/2009/29
61,61,200493,6,0,8,38.9352,-90.7258,10/2009/29
62,62,200494,2,0,6,40.2973,-92.303,10/2009/29
63,63,200495,8,0,8,39.6304,-92.2801,10/2009/29
64,64,200497,5,0,7,39.6337,-92.1782,10/2009/29
65,65,186491,185,0,8,42.43,-71.75,07/2009/2
66,66,186494,1345,0,8,41.7,-71.15,07/2009/2
67,67,199742,470,0,8,22.2123,-159.4774,11/2009/26
68,68,198397,7,0,8,29.5299,-97.4247,11/2009/20
69,69,198398,5,0,8,29.3,-97.89,11/2009/20
70,70,201356,848,0,8,36.0928,-79.81,11/2009/11
71,71,201357,152,0,8,36.0916,-79.7944,11/2009/12
72,72,207583,35,0,8,35.4934,-83.3222,12/2009/9
73,73,207584,43,0,8,35.4332,-83.4472,12/2009/9
74,74,201849,13,0,8,38.0071,-78.7203,11/2009/19
75,75,206400,12,0,8,35.43,-88.67,12/2009/8
76,76,206401,24,0,8,34.8636,-90.0477,12/2009/8
77,77,206402,4,0,8,35.27,-89.0,12/2009/8
78,78,207431,41,0,8,35.1716,-80.7861,12/2009/25
79,79,201358,48,0,8,36.4533,-77.6685,11/2009/12
80,80,201359,446,0,8,36.4345,-77.62899999999998,11/2009/12
81,81,198391,17,0,8,29.6364,-99.005,11/2009/20
82,82,198392,37,0,8,29.3647,-98.7947,11/2009/20
83,83,198393,0,0,8,29.2756,-97.6084,11/2009/20
84,84,196308,281,0,8,30.1148,-94.1628,09/2009/9
85,85,196312,185,0,8,30.1716,-93.2351,09/2009/28
86,86,199690,5,0,8,37.2582,-86.9808,11/2009/1
87,87,200151,13,0,8,37.2686,-89.5321,11/2009/19
88,88,199528,1634,0,8,34.0,-81.02,12/2009/9
89,89,198394,243,0,8,29.5101,-98.3771,11/2009/20
90,90,198395,0,0,8,29.1156,-98.1484,11/2009/20
91,91,201412,80,0,8,38.0048,-92.7371,11/2009/15
92,92,201413,18,0,8,38.35,-92.58,11/2009/15
93,93,201414,10,0,8,38.43,-92.84,11/2009/15
94,94,201415,6,0,8,37.7155,-93.2538,11/2009/15
95,95,208311,7,0,6,34.2771,-118.1504,12/2009/12
96,96,199214,0,0,8,36.409,-89.35,10/2009/30
97,97,208712,17,0,8,31.8691,-85.2072,12/2009/14
98,98,203045,2,0,8,33.0457,-93.4772,12/2009/24
99,99,203046,3,0,8,32.2211,-92.84,12/2009/24
100,100,203050,1,0,8,33.6159,-94.165,12/2009/24
101,101,146440,65,0,8,44.72,-123.92,01/2009/2
102,102,146445,26,0,8,45.48,-123.12,01/2009/2
103,103,146500,3,0,8,44.75,-123.2,01/2009/2
104,104,146503,103,0,7,45.2342,-122.7581,01/2009/3
105,105,146504,3808,0,8,45.4844,-122.5801,01/2009/2
106,106,146505,39,0,8,44.5308,-123.3664,01/2009/2
107,107,146507,4,0,8,44.6754,-123.0122,01/2009/2
108,108,203047,16,0,8,32.9811,-93.1627,12/2009/24
109,109,199906,4,0,8,37.9,-92.59,10/2009/30
110,110,199907,6,0,8,37.87,-92.59,10/2009/30
111,111,199908,1,0,8,37.02,-91.28,10/2009/30
112,112,149147,17,0,8,45.4787,-123.8523,01/2009/8
113,113,149148,6,0,8,45.45,-123.71,01/2009/8
114,114,149149,14,0,8,45.72,-123.89,01/2009/8
115,115,149150,4,0,8,45.3966,-121.583,01/2009/7
116,116,149151,22,0,8,45.47,-123.12,01/2009/8
117,117,149152,3,0,8,44.75,-123.2,01/2009/8
118,118,203041,265,0,8,32.3975,-93.7669,12/2009/24
119,119,206790,5,0,8,35.2905,-91.7077,12/2009/24
120,120,201981,9,0,8,34.8624,-92.1446,12/2009/24
121,121,202262,6,0,8,35.2022,-91.7213,12/2009/24
122,122,202410,20,0,8,34.7673,-92.2326,12/2009/24
123,123,149141,12,0,8,45.9607,-123.9282,01/2009/7
124,124,149142,155,0,8,46.0295,-123.9107,01/2009/7
125,125,149143,5,0,8,45.98,-123.53,01/2009/8
126,126,199918,0,0,8,37.6,-92.32,10/2009/30
127,127,151426,4,0,8,37.05,-86.52,01/2009/29
128,128,151428,9,0,8,37.2545,-85.9024,01/2009/29
129,129,151429,3,0,8,37.1811,-86.6329,01/2009/29
130,130,205602,9,0,8,34.7276,-92.5551,12/2009/26
131,131,204647,257,0,8,35.77,-78.69,12/2009/2
132,132,204648,282,0,8,35.7868,-78.7199,12/2009/2
133,133,204649,667,0,8,35.84,-78.68,12/2009/2
